osmid,y,x,street_count,elevation,highway
1460476784,41.313778,-8.7372343,3,9.0,
1460476864,41.3140345,-8.7268837,3,23.0,
1460476866,41.3140735,-8.7316411,3,18.0,
1460476887,41.314108,-8.7342129,3,14.0,
1460476982,41.3142268,-8.7390065,3,8.0,
1460476983,41.3142422,-8.7387075,3,8.0,
1460476985,41.3143001,-8.7328297,3,18.0,
1460476987,41.3143401,-8.7376341,3,8.0,
1460476988,41.3144106,-8.7369339,3,9.0,
1460476990,41.3144927,-8.715787,3,28.0,
1460476993,41.3146588,-8.7345635,3,8.0,
1460477053,41.3146793,-8.7343126,3,8.0,
1460477058,41.3147266,-8.7170558,1,20.0,
1460477061,41.3147707,-8.715833,3,32.0,
1460477066,41.3148245,-8.7330855,3,15.0,
1460477070,41.3148265,-8.7387061,3,4.0,
1460477093,41.3149844,-8.7370374,4,6.0,
1460477113,41.3150725,-8.7172052,1,20.0,
1460477115,41.315147,-8.7387008,1,4.0,
1460477116,41.3152174,-8.7346715,3,8.0,
1460477119,41.315234,-8.7162154,3,32.0,
1460477122,41.3153641,-8.7332325,3,15.0,
1460477127,41.3158941,-8.7174545,3,20.0,
1460477136,41.3164885,-8.7132778,3,35.0,
1460477201,41.3166556,-8.7292534,3,18.0,
1460477207,41.3166582,-8.7293779,1,18.0,
1460477235,41.3168119,-8.729246,1,16.0,
1460477237,41.3168744,-8.7277752,1,16.0,
1460477241,41.3170691,-8.7165977,4,35.0,
1460477442,41.3179769,-8.7177346,3,34.0,
1486919210,41.3138087,-8.715068,1,28.0,
1486919212,41.3145082,-8.7152734,3,28.0,
1486919213,41.3146146,-8.7137655,3,35.0,
1486919218,41.3153988,-8.7143187,3,35.0,
1486919220,41.3154846,-8.7140953,3,35.0,
1486919232,41.3164558,-8.7141334,3,35.0,
1486919233,41.3164755,-8.7129648,3,35.0,
1486919239,41.3169862,-8.7142779,1,38.0,
1486919241,41.3171398,-8.7134152,3,38.0,
1486919244,41.3175486,-8.7107711,3,41.0,
1486919245,41.3180883,-8.7110834,3,41.0,
1486919246,41.318528,-8.7232743,3,20.0,
1486919256,41.3190637,-8.7116005,3,52.0,
1486919261,41.3203622,-8.7223916,3,23.0,
1486919262,41.3204203,-8.7226126,3,23.0,
1486919263,41.3204584,-8.7184848,4,34.0,
1486919271,41.320996,-8.7182045,3,36.0,
1486919277,41.3212918,-8.7174731,3,36.0,
1486919282,41.3215564,-8.7186486,3,36.0,
1486919286,41.3218461,-8.7187637,3,42.0,
1486919287,41.3218832,-8.7179108,3,36.0,
1486919288,41.3219478,-8.7177485,3,36.0,
1486919290,41.3219752,-8.7188482,3,42.0,
1486919291,41.32202,-8.7205808,3,42.0,
1486919292,41.3220405,-8.7174846,3,36.0,
1486919293,41.3220841,-8.7180925,3,36.0,
1486919294,41.3221118,-8.7189375,3,42.0,
1486919295,41.3222174,-8.7181798,3,36.0,
1486919296,41.3222624,-8.7190361,3,42.0,
1486919297,41.3222915,-8.7179791,3,36.0,
1486919298,41.3223977,-8.7191246,3,42.0,
1486919300,41.3224411,-8.7180712,3,36.0,
1486919301,41.3224966,-8.7199505,3,42.0,
1486919302,41.32248,-8.7177701,3,36.0,
1486919303,41.3225427,-8.7192196,3,42.0,
1486919306,41.3225927,-8.7181703,3,36.0,
1486919307,41.322664,-8.7192989,3,42.0,
1486919308,41.322728,-8.7182588,3,36.0,
1486919309,41.3228203,-8.7194012,3,42.0,
1486919310,41.3228243,-8.7153686,3,40.0,
1486919311,41.322848,-8.7183373,3,36.0,
1486919318,41.3229032,-8.7226809,3,48.0,
1486919319,41.3229527,-8.7194879,3,37.0,
1486919320,41.3229889,-8.7184295,3,40.0,
1486919322,41.3230839,-8.7195737,3,37.0,
1486919324,41.323131,-8.7185224,3,40.0,
1486919326,41.3231982,-8.7249018,3,45.0,
1486919327,41.3232205,-8.7196631,3,37.0,
1486919329,41.3232627,-8.7186086,3,40.0,
1486919331,41.3233642,-8.7197571,3,37.0,
1486919332,41.3234033,-8.7187006,3,40.0,
1486919334,41.3235366,-8.7187878,3,37.0,
1486919335,41.3236837,-8.7188839,3,37.0,
1486919343,41.3240928,-8.7188774,3,37.0,
