u,v,key,osmid,highway,oneway,reversed,length,grade,grade_abs,elevation_change,service,junction,incline,smoothness
2355672208,3465451508,0,339351402,footway,False,False,9.834376613951623,0.0,0.0,0.0,,,,
2355672208,3465451508,1,"[339355600, 339355599]","['steps', 'footway']",False,"[False, True]",27.967481902757168,0.0,0.0,0.0,,,,
2355672208,6601940166,0,226832137,footway,False,False,27.305776186040433,0.4028451681817983,0.4028451681817983,11.0,,,,
2355672208,3465416742,0,"[339351402, 339351404]","['steps', 'footway']",False,"[False, True]",57.865866322384086,-0.10368807003722395,0.10368807003722395,-6.0,,,,
3465378544,3465548801,0,339366987,steps,False,False,23.09184808888903,0.0,0.0,0.0,,,,
3465388638,2265527790,0,217273040,footway,False,False,44.23410356233464,0.0,0.0,0.0,,,,
3465388638,11584727077,0,217273040,footway,False,True,49.129858397501714,0.08141688436462913,0.08141688436462913,4.0,,,,
3465388638,3465388639,0,339349433,footway,False,False,16.051296885309103,0.2492010476524789,0.2492010476524789,4.0,,,,
3465388639,3465388638,0,339349433,footway,False,True,16.051296885309103,-0.2492010476524789,0.2492010476524789,-4.0,,,,
3465407419,3465407420,0,339350100,footway,False,True,8.077402922099596,0.0,0.0,0.0,,,,
3465407419,3465407420,1,339350100,footway,False,False,22.558435751030967,0.0,0.0,0.0,,,,
3465407419,11584727077,0,1246109251,footway,False,True,12.962460947340501,0.0,0.0,0.0,,,,
3465407420,3465407419,0,339350100,footway,False,False,8.077402922099596,0.0,0.0,0.0,,,,
3465407420,3465407419,1,339350100,footway,False,True,22.558435751030967,0.0,0.0,0.0,,,,
3465407420,3465407450,0,339350100,footway,False,True,537.6285936663647,0.02046022129326375,0.02046022129326375,11.0,,,,
3465407450,2265527592,0,217272770,unclassified,False,True,90.87124204928602,0.0,0.0,0.0,,,,
3465407450,1841498508,0,1246109243,footway,False,False,40.41920829698312,-0.22264703287497184,0.22264703287497184,-9.0,,,,
3465407450,1841498508,1,217272770,unclassified,False,False,40.42272597925874,-0.22264703287497184,0.22264703287497184,-9.0,,,,
3465407450,3465407420,0,339350100,footway,False,False,537.6285936663647,-0.02046022129326375,0.02046022129326375,-11.0,,,,
3465407476,3465407489,0,1246109257,footway,False,True,42.93207084056843,-0.16302233843924918,0.16302233843924918,-7.0,,,,
3465407476,3465407489,1,228257939,residential,False,True,42.93890068696673,-0.16302233843924918,0.16302233843924918,-7.0,,,,
3465407476,3465407483,0,228257939,residential,False,False,72.34154151568379,-0.05529326464701879,0.05529326464701879,-4.0,,,,
3465407476,3465407484,0,339350103,footway,False,False,59.886994955210014,-0.06679246475785992,0.06679246475785992,-4.0,,,,
3465407476,1841498470,0,916673039,unclassified,False,True,165.48457527393145,-0.07855717053073207,0.07855717053073207,-13.0,,,,
3465407483,2265527528,0,228257939,residential,False,False,5.612465248471695,0.0,0.0,0.0,,,,
3465407483,3465407476,0,228257939,residential,False,True,72.34154151568379,0.05529326464701879,0.05529326464701879,4.0,,,,
3465407483,3465407484,0,339350104,footway,False,False,45.478379737554064,0.0,0.0,0.0,,,,
3465407484,3465407492,0,339350103,footway,False,False,40.152812927229235,0.0,0.0,0.0,,,,
3465407484,3465407476,0,339350103,footway,False,True,59.886994955210014,0.06679246475785992,0.06679246475785992,4.0,,,,
3465407484,3465407489,0,339350104,footway,False,False,66.82615573804557,-0.04489260180938458,0.04489260180938458,-3.0,,,,
3465407484,3465407483,0,339350104,footway,False,True,45.478379737554064,0.0,0.0,0.0,,,,
3465407489,3465407476,0,1246109257,footway,False,False,42.93207084056843,0.16302233843924918,0.16302233843924918,7.0,,,,
3465407489,3465407476,1,228257939,residential,False,False,42.93890068696673,0.16302233843924918,0.16302233843924918,7.0,,,,
3465407489,13058809512,0,228257939,residential,False,True,35.783065386561915,0.0,0.0,0.0,,,,
3465407489,3465407484,0,339350104,footway,False,True,66.82615573804556,0.044892601809384584,0.044892601809384584,3.0,,,,
