city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges,great_circle_m,circuity
Lanaken,12742092878,315880891,2962.4142779008307,3028.140544279616,65.72626637878511,2.2186723467103597,5034.020670096413,3593.3496028983163,28.618695901590417,41.666666666666664,False,34,24,2624.540852509373,1.153779161556717
Lanaken,12873862992,363383818,3909.15497491344,3909.15497491344,0.0,0.0,4853.598932462669,4853.598932462669,0.0,100.0,False,28,28,3028.5439394174273,1.2907704339483375
Lanaken,3560722616,12873937974,1521.2372729298754,1550.0742400309034,28.836967101027994,1.8956258575947538,1783.2729523763817,1766.4508799430143,0.9433257208858755,66.66666666666667,False,25,21,1128.501950285851,1.3735680648476216
Lanaken,4485942796,4538673397,2902.3031458809573,2902.3031458809573,0.0,0.0,3054.0112108170024,3054.0112108170024,0.0,100.0,False,25,25,2294.655308651046,1.2648100718827038
Lanaken,361147276,189178207,7181.575337201562,7846.264482988638,664.6891457870752,9.255478284045738,10664.18053621875,9292.896412608656,12.858785716847184,24.56140350877193,False,82,57,5627.6549343920615,1.3942334017386313
Lanaken,1477629976,620000744,4470.701714295973,4470.701714295973,0.0,0.0,4816.945191605428,4816.945191605428,0.0,100.0,False,34,34,4141.517402497981,1.0794839861349956
Lanaken,3754830489,325736954,8658.873936704358,8862.056983820567,203.1830471162084,2.346529682744655,11344.535730969108,10776.50770497959,5.007062778592836,75.32467532467533,False,77,77,6847.869829599667,1.2941333880960542
Lanaken,3756217193,315885019,3078.613567598615,3078.613567598615,0.0,0.0,3527.200634292585,3527.200634292585,0.0,100.0,False,16,16,2569.787321416903,1.1980032518415418
Lanaken,315885581,324597910,2380.9151826622724,2380.9151826622724,0.0,0.0,2994.6632465085845,2994.6632465085845,0.0,100.0,False,7,7,1491.0296631153717,1.5968261675542827
Lanaken,2326391007,6268483753,2524.0808385047017,2524.0808385047017,0.0,0.0,2682.2455768117593,2682.2455768117593,0.0,100.0,False,17,17,2238.3989784879445,1.1276277655423776
Lanaken,2356698958,261886037,12253.422826896454,12412.09135114216,158.66852424570607,1.2948914477791966,16093.02562622526,14377.55305022032,10.659726864595303,45.833333333333336,False,122,96,8896.126588145486,1.395224228000742
Lanaken,12293437831,13596192314,5563.788332740886,5813.54601506794,249.75768232705377,4.488986053932353,8696.740026886098,6568.74021701692,24.468936673862117,38.297872340425535,False,64,47,3639.0688973704187,1.5975366718857102
Lanaken,12193044545,2312887779,5084.009410578666,5095.228667686523,11.21925710785763,0.2206773473808469,5620.321335709371,5613.784907026791,0.11629991048820976,82.6086956521739,False,46,48,4129.897926421473,1.2337420339348442
Lanaken,3018703044,923038625,5111.207513864642,5620.624878595147,509.41736473050423,9.96667349835945,6486.345055343282,6425.476776152826,0.9384064318366,9.090909090909092,False,55,57,4313.644709466284,1.3029874403565729
Lanaken,2323734268,2078977801,5215.3353051138565,5215.3353051138565,0.0,0.0,5674.994544346018,5674.994544346018,0.0,100.0,False,45,45,4246.972439939271,1.2280125145310414
Lanaken,1778262255,7997767864,7682.946151709499,8463.292009065992,780.3458573564931,10.156857043477544,12307.950354899163,10571.597828958627,14.107568489252015,48.275862068965516,False,59,58,6651.2327403725885,1.2724396122382413
Lanaken,5373285521,621021779,5490.72239103383,5523.477405573653,32.755014539823605,0.596552005494058,8141.047654884512,7090.974794538021,12.898497894389081,80.28169014084507,False,80,71,4159.9521324582065,1.3277742699192334
Lanaken,4538676897,12328282822,3443.5236397394565,3445.601569253238,2.077929513781328,0.06034311743358753,3938.6015985741274,3917.8120606203665,0.5278405909672906,91.66666666666667,False,36,36,3122.27303291929,1.1035554972050727
Lanaken,11967425341,2323734250,3422.9267347744244,3422.9267347744244,0.0,0.0,3570.947445359392,3570.947445359392,0.0,100.0,False,20,20,2973.2527974688924,1.1512397256258653
Lanaken,4559179547,12531587828,2130.056314151822,2130.056314151822,0.0,0.0,2633.3339101238985,2633.3339101238985,0.0,100.0,False,32,32,1634.8403904836327,1.3029139275924606
Lanaken,315885564,2356698910,3867.9807388898284,3867.9807388898284,0.0,0.0,4156.294537029464,4156.294537029464,0.0,100.0,False,21,21,3013.0498117629463,1.283742712712293
Lanaken,1435412778,417991873,3208.551280938995,3602.5384423698742,393.98716143087904,12.279285164349226,4188.526782309046,3961.363164537486,5.423472967417186,26.666666666666668,False,15,17,2483.940700399696,1.4503319027665122
Lanaken,5732496997,11893511388,4571.44572788894,4629.832107148303,58.38637925936291,1.2771972530083018,4778.18509390301,4697.360647138436,1.6915302604686882,35.483870967741936,False,31,33,3128.6688065875665,1.4798089517816535
