osmid,y,x,highway,street_count,elevation
923038593,50.920527,5.6428386,,3,60.0
923038594,50.9193805,5.6445123,,4,59.0
923038600,50.9177855,5.64694,,4,57.0
923038615,50.9147752,5.643722,,3,64.0
923038617,50.9132085,5.6420476,,3,66.0
923038622,50.9124811,5.6412759,,5,78.0
923038625,50.9122255,5.6392735,,3,90.0
923038661,50.9140601,5.6362754,,3,96.0
923038670,50.9127964,5.6348884,,3,101.0
923038678,50.9120102,5.6376148,,3,90.0
923038686,50.9115751,5.6356847,,3,105.0
923038705,50.9102993,5.6356168,,3,86.0
923038708,50.9105553,5.6345749,,3,102.0
923038712,50.9091532,5.6332276,,3,99.0
923038725,50.911872,5.623037,,4,105.0
923099133,50.9249482,5.6473376,,1,59.0
923099244,50.9099726,5.621019,,4,104.0
923099255,50.9085663,5.6225383,,3,104.0
923099291,50.9088052,5.6228506,,4,104.0
923099348,50.9274333,5.6319195,,4,75.0
923099355,50.9272205,5.6277414,,4,92.0
937818967,50.8557937,5.6424135,,3,75.0
937826875,50.856385,5.6418106,,3,65.0
938900857,50.9273696,5.6318939,,1,75.0
951622483,50.8973642,5.6458403,,3,65.0
951622488,50.8972545,5.6458963,,3,65.0
951622502,50.8971754,5.645621,,3,67.0
951622508,50.8973832,5.6456296,,3,67.0
1364185452,50.862194,5.6346582,,3,75.0
1364185465,50.8619979,5.627309,,3,73.0
1364185488,50.8601713,5.6290984,,3,76.0
1364185495,50.8598991,5.6347391,,3,78.0
1369483733,50.8864286,5.6031048,,1,96.0
1374582394,50.9236778,5.706714,,3,43.0
1374588795,50.9233811,5.7049124,,3,44.0
