u,v,key,osmid,lit,lanes,surface,name,ref,highway,maxspeed,oneway,reversed,length,grade,grade_abs,elevation_change,junction,sidewalk,access,bridge,service,incline,tactile_paving,smoothness,tunnel,width,est_width,footway
30985245,30985249,0,4821310,,,asphalt,Marie Curiestraat,,residential,,False,False,99.35830072573063,0.0,0.0,0.0,,,,,,,,,,,,
30985248,30985245,0,4821309,,,asphalt,Haegendoornstraat,,residential,,False,True,95.80490248575867,-0.020875758422668384,0.020875758422668384,-2.0,,,,,,,,,,,,
30985249,3785155319,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,False,39.8044079536664,0.050245691440205915,0.050245691440205915,2.0,,,,,,,,,,,,
30985249,30985245,0,4821310,,,asphalt,Marie Curiestraat,,residential,,False,True,99.35830072573063,0.0,0.0,0.0,,,,,,,,,,,,
30985249,30985260,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,True,136.25838002031003,0.022016994474415696,0.022016994474415696,3.0,,,,,,,,,,,,
30985251,3785155319,0,375126553,,,asphalt,Louis Pasteurstraat,,residential,,False,True,82.41150510691952,0.0,0.0,0.0,,,,,,,,,,,,
30985251,30985254,0,4821315,,,,A. G. Bellstraat,,residential,,False,True,106.7831460963773,0.0,0.0,0.0,,,,,,,,,,,,
30985251,1496610519,0,4821316,,,asphalt,A. Einsteinstraat,,residential,,False,False,63.931289487789556,0.0,0.0,0.0,,,,,,,,,,,,
30985254,3785155313,0,375126572,,,,,,path,,False,False,88.14979535988059,0.0,0.0,0.0,,,,,,,,,,,,
30985254,30985251,0,4821315,,,,A. G. Bellstraat,,residential,,False,False,106.7831460963773,0.0,0.0,0.0,,,,,,,,,,,,
30985254,30985255,0,4821315,,,,A. G. Bellstraat,,residential,,False,True,113.48555376135872,0.017623388472912314,0.017623388472912314,2.0,,,,,,,,,,,,
30985255,30985256,0,4821314,,,asphalt,A. Nobelstraat,,residential,,False,False,85.64591618823762,-0.011675979947510181,0.011675979947510181,-1.0,,,,,,,,,,,,
