city,o,d,planned_length_m,actual_length_m,length_delta_m,length_delta_pct,planned_friction_cost,actual_friction_cost,friction_savings_pct,overlap_pct,diverges_completely,planned_n_edges,actual_n_edges
Maastricht,4756555613,60275254,5967.86401705875,6177.818630242624,209.95461318387424,3.518086413895033,7621.639836997706,6902.130239743444,9.440351586302317,70.0,False,153,150
Maastricht,1434361286,423367779,7991.891334417248,8067.750833763365,75.85949934611745,0.9492058409181181,9634.018822188704,9545.32155250504,0.920667390428796,76.99115044247787,False,117,113
Maastricht,6301952501,41962873,2026.1421901641004,2056.9003938397564,30.758203675655977,1.5180673807085978,2338.7362259345878,2309.0808181147945,1.268009940195055,36.170212765957444,False,47,52
Maastricht,475573267,5964563993,685.583921531197,700.5702541669988,14.986332635801773,2.1859224181236625,902.3779065878275,770.2378894462415,14.643534175304517,85.71428571428571,False,21,25
Maastricht,9316295072,13299266597,954.8752969210027,954.8752969210027,0.0,0.0,1233.3797119272178,1233.3797119272178,0.0,100.0,False,20,20
Maastricht,41970374,559407387,5292.170971018263,5298.289541240094,6.118570221830851,0.11561550553332899,6031.624091418015,5986.7601493705115,0.743811971162752,93.54838709677419,False,63,62
Maastricht,8571222294,41966669,6117.493048751131,6591.016603781387,473.5235550302559,7.740483744839309,10034.10768243005,7117.418232045466,29.067751141357334,13.924050632911392,False,79,159
Maastricht,4421018187,41932243,6822.972734055625,7172.820240057063,349.847506001438,5.127493830588505,8727.902974210045,8176.955685419373,6.312481823167118,56.43564356435643,False,101,128
Maastricht,520588954,8904172037,1987.803992652136,2015.780755911674,27.976763259538075,1.4074206190828384,2555.1001000866318,2204.3511722692883,13.727404566476716,21.428571428571427,False,42,47
Maastricht,11778863016,42003741,3208.825960673358,3408.307555549782,199.48159487642397,6.21665360855419,4205.454627712108,3907.9999184766516,7.073069039322406,50.0,False,62,82
Maastricht,11602305579,13247967502,1888.8316529404708,1977.7210534785074,88.88940053803663,4.706052040141139,2460.927777910654,2160.7078325101525,12.19946184911573,29.26829268292683,False,54,41
Maastricht,41963635,41942228,3463.9845022537943,3500.947424650805,36.962922397010516,1.0670637346374123,4251.177409362435,4207.551883056992,1.0261986763800168,68.88888888888889,False,48,45
Maastricht,41997160,1230472947,7865.921553260489,8028.551896233921,162.63034297343165,2.0675307002778336,9266.747476593735,8794.209706141433,5.09928398983412,7.6923076923076925,False,127,117
Maastricht,41960385,41989088,3968.4493265831725,4037.281695479436,68.83236889626369,1.7344903067095034,4860.261136722548,4561.537212399676,6.146252555563564,60.49382716049383,False,81,82
Maastricht,10187444815,4743648845,3200.092191359789,3275.9516907059024,75.85949934611335,2.3705410597523753,3724.0839883894605,3635.3867187057954,2.3817204434753814,53.57142857142857,False,60,56
Maastricht,41987918,3804363385,2358.628037833494,2398.2011852939627,39.57314746046859,1.6778036564348784,2772.0271949551143,2700.867574228922,2.5670607004035744,73.58490566037736,False,54,53
