osmid,y,x,street_count,elevation,highway,ref
528868553,50.8448287,5.6523704,3,82.0,crossing,
528868563,50.8451738,5.6413033,4,87.0,,
538319613,50.8397921,5.7133226,3,51.0,,
543469743,50.8509457,5.7063856,3,49.0,,
549771735,50.8537011,5.690032,3,53.0,,
554922128,50.8129632,5.6820851,3,107.0,,
554922130,50.8132947,5.6819451,3,107.0,,
554922136,50.8138898,5.684599,3,111.0,,
554922139,50.813884,5.684865,3,111.0,,
554922141,50.8133241,5.6864008,3,129.0,,
554922143,50.8137656,5.6868324,3,129.0,,
554922155,50.8138506,5.6889476,3,158.0,,
554922157,50.8137146,5.6890654,3,158.0,,
554922160,50.8131863,5.6890529,3,158.0,,
554926006,50.821492,5.6786178,3,104.0,,
554926025,50.8249313,5.6748774,3,60.0,,
555039730,50.8269647,5.6609152,3,106.0,,
557756352,50.8180156,5.6646757,3,95.0,,
557756370,50.8212292,5.6649721,3,71.0,,
557756376,50.8219227,5.6639419,3,103.0,,
557756389,50.8221808,5.6641984,3,103.0,,
557756391,50.8235691,5.66341,3,101.0,,
558615568,50.8207624,5.676749,3,69.0,,
559407342,50.8224624,5.6782253,3,104.0,,
559407387,50.8153121,5.6910071,3,122.0,,
559407394,50.8244978,5.6763267,4,96.0,,
559407401,50.8245186,5.6775568,3,108.0,,
559407413,50.8312026,5.6787156,4,64.0,,
559407427,50.8302672,5.6819216,4,88.0,,
559407446,50.8303031,5.6816992,3,88.0,,
559407457,50.832718,5.6824273,4,90.0,,
559410110,50.8213768,5.6630932,3,103.0,,
560142682,50.8045196,5.714374,3,49.0,,
560144645,50.8226161,5.7045345,4,50.0,,
560144650,50.8226029,5.7058791,4,50.0,,
560144653,50.8174858,5.7078609,3,49.0,,
560144657,50.8179764,5.7092654,1,48.0,,
560144660,50.822273,5.708524,4,49.0,,
560144665,50.8212658,5.7107779,3,48.0,,
560145639,50.8304358,5.7121986,1,47.0,,
561196706,50.8716557,5.6725941,3,57.0,,
561196713,50.8721926,5.6708154,1,61.0,,
561197214,50.8838249,5.6973642,3,44.0,,
561197216,50.8840725,5.6975073,1,44.0,,
561527584,50.8383269,5.7127517,1,52.0,,
563107334,50.838398,5.7012945,1,46.0,,
563308913,50.8580068,5.6989433,3,45.0,,
563322838,50.8437443,5.7279741,3,52.0,,
563323338,50.8419255,5.7294556,3,57.0,,
563858622,50.8790676,5.7254941,3,52.0,,
564088654,50.8430024,5.7193778,4,48.0,crossing,
564088705,50.8430816,5.7198805,3,48.0,,
564120520,50.8487817,5.7204478,3,51.0,,
564721729,50.8478179,5.7063182,1,49.0,,
565000992,50.8488872,5.7205145,3,51.0,,
565570475,50.8497643,5.6896166,3,59.0,,
566179552,50.8548582,5.6920291,3,49.0,,
566220547,50.8380065,5.6553452,3,75.0,,
566220556,50.8380539,5.6552204,1,75.0,,
566220580,50.8384821,5.6540638,3,77.0,,
566220635,50.8385285,5.6539361,1,77.0,,
566220676,50.8387167,5.6534149,3,77.0,,
566220685,50.8387724,5.6532752,1,77.0,,
566220715,50.8384276,5.6531478,3,77.0,,
566220734,50.8383859,5.6549146,3,75.0,,
566220764,50.8379348,5.6544483,3,75.0,,
566220775,50.8382364,5.6547244,3,75.0,,
566220848,50.8383008,5.6545541,1,75.0,,
566220869,50.8381477,5.6555389,3,75.0,,
566220964,50.8386363,5.6542584,3,75.0,,
567066741,50.8459546,5.686758,3,58.0,,
567068761,50.8497086,5.68908,4,55.0,crossing,
567070764,50.8441835,5.6911899,3,50.0,,
567112633,50.8538114,5.6914227,4,53.0,,
567496782,50.8428693,5.708226,3,50.0,,
567507514,50.8508504,5.6674751,3,73.0,,
567922200,50.8517675,5.7088123,3,51.0,,
568477765,50.8548566,5.6921602,3,49.0,,
568477768,50.8547884,5.6921585,3,49.0,,
568861474,50.8744742,5.7308211,1,45.0,,
570132004,50.8333064,5.7392558,3,67.0,,
570132197,50.8342861,5.7411512,3,69.0,,
571165506,50.8523708,5.6813715,3,53.0,,
571165914,50.8480715,5.6902644,3,59.0,,
571173986,50.8438575,5.7276159,3,52.0,,
571835971,50.8448104,5.7054656,3,49.0,,
576344870,50.8331211,5.704385,3,49.0,,
576344893,50.8322378,5.7077765,3,48.0,,
577509031,50.895741,5.7002669,3,41.0,,
577509290,50.8931295,5.7038988,3,43.0,,
582527827,50.8532437,5.7249519,3,49.0,,
582528392,50.8525557,5.7244181,3,49.0,,
582846612,50.8415111,5.7046052,3,50.0,,
582846613,50.8414858,5.7045092,3,50.0,,
582846651,50.8418297,5.7061656,3,48.0,,
583832749,50.8694935,5.7504754,4,73.0,,
586397823,50.84434,5.72728,3,52.0,,
586398759,50.8429709,5.7322733,3,58.0,,
587763187,50.8333638,5.7131843,3,53.0,,
587763196,50.8334432,5.7147887,3,57.0,,
587987371,50.8333141,5.7133409,3,51.0,,
587987373,50.8337383,5.7133607,3,53.0,,
587987374,50.8336099,5.7133577,3,53.0,,
587987376,50.8333039,5.7141945,3,51.0,,
587987379,50.8335968,5.7142012,3,53.0,,
587987380,50.83373,5.7142043,3,53.0,,
587987382,50.8338665,5.7142075,3,53.0,,
588037823,50.8377498,5.7162787,3,49.0,,
588037830,50.8379458,5.716285,3,49.0,,
590223299,50.8494938,5.7017824,3,53.0,,
590894426,50.829765,5.7434963,3,75.0,,
590894429,50.8315404,5.7438385,3,83.0,,
598308228,50.8507901,5.6789494,4,63.0,,
598308230,50.8506943,5.6791093,4,63.0,,
598308232,50.8515563,5.6803571,4,62.0,,
598308239,50.8516237,5.6801482,4,62.0,,
598308244,50.8524183,5.6812909,4,53.0,,
598308246,50.8522501,5.6813498,4,53.0,,
600900882,50.8436402,5.696505,4,53.0,,
600900886,50.8436586,5.6969301,4,53.0,crossing,
600900939,50.8407336,5.7030975,1,50.0,,
600900948,50.8411874,5.7030251,1,50.0,,
600900950,50.8410669,5.7033568,1,50.0,,
600900952,50.8408775,5.70333,1,50.0,,
600900956,50.8460944,5.6927748,3,55.0,,
600900973,50.8450105,5.7021194,4,52.0,crossing,
600904778,50.8442253,5.6864932,3,54.0,,
600904791,50.8439605,5.6918638,4,49.0,,
600904793,50.8439003,5.6912938,3,50.0,,
600904805,50.8443211,5.6929105,4,49.0,,
600904806,50.8443659,5.6922587,3,49.0,,
600914980,50.8423088,5.6976525,3,53.0,,
600914982,50.8420998,5.6977869,3,53.0,,
600914986,50.8424973,5.698066,3,44.0,,
601154538,50.8372361,5.7138557,3,52.0,,
601154547,50.8376253,5.7132841,3,52.0,,
601191801,50.8399535,5.7124417,1,50.0,,
601193795,50.8399248,5.7132163,1,51.0,,
601193798,50.8400569,5.7133375,4,51.0,,
601193800,50.8402059,5.7133438,3,51.0,,
601193822,50.8400247,5.7152189,3,50.0,,
601241303,50.8390989,5.7126419,3,52.0,,
601241306,50.8393032,5.7126484,3,52.0,,
601241313,50.8393069,5.7124443,3,52.0,,
601241315,50.8384278,5.7124025,3,52.0,,
601241336,50.8390963,5.7128516,4,52.0,,
601241338,50.8394351,5.7133035,3,52.0,,
601241342,50.8393109,5.7122223,3,52.0,,
601241355,50.8392995,5.7128537,3,52.0,,
601241361,50.8384242,5.7126069,3,52.0,,
601241723,50.839436,5.7132337,1,52.0,,
601254763,50.8389545,5.7135104,4,52.0,,
601254764,50.838702,5.7137291,4,52.0,,
601254766,50.838996,5.7143163,1,52.0,,
601254768,50.8386983,5.7139376,4,52.0,,
601254769,50.8388198,5.7139435,1,52.0,,
601254776,50.8384165,5.7130397,3,52.0,,
601254777,50.8389628,5.7130584,3,52.0,,
601254779,50.8384204,5.7128197,3,52.0,,
601254780,50.838967,5.7128495,4,52.0,,
601254783,50.8386957,5.7140822,1,52.0,,
601255395,50.8403339,5.7138441,3,51.0,,
601255397,50.8404854,5.714904,1,50.0,,
601255566,50.8390971,5.7134363,3,52.0,,
601255567,50.8393166,5.7136838,1,52.0,,
601255760,50.8398424,5.7116045,3,50.0,,
601255761,50.8398745,5.7096156,3,49.0,,
601257126,50.8352003,5.7206756,3,47.0,,
601257333,50.8607431,5.6719918,3,70.0,,
601257342,50.8629756,5.6718918,3,66.0,,
601257346,50.8605862,5.6719006,3,70.0,,
601257348,50.8606168,5.6720187,3,70.0,,
601257352,50.8607579,5.671931,3,70.0,,
601257367,50.8554602,5.6659712,3,69.0,,
601257982,50.8491419,5.6747532,4,72.0,,
601260374,50.8381107,5.7130109,3,52.0,,
601260376,50.8385805,5.7117767,3,52.0,,
601260398,50.8386172,5.7103491,1,53.0,,
601508433,50.8440448,5.689115,3,52.0,,
601621375,50.8356097,5.712642,1,52.0,,
601621384,50.8382157,5.7127506,3,52.0,,
601621388,50.8347463,5.7161583,1,57.0,,
601621426,50.8394234,5.7160258,1,49.0,,
601622841,50.8362523,5.7092857,3,49.0,,
601622842,50.8364117,5.710056,3,49.0,,
601622849,50.836407,5.7110718,3,48.0,,
601623181,50.8335484,5.7115001,4,48.0,,
601630636,50.837779,5.7141882,1,52.0,,
601630638,50.8378607,5.7145058,3,52.0,,
601631027,50.8380121,5.7096249,3,53.0,,
601643781,50.8498774,5.6776407,4,70.0,,
602121964,50.8449987,5.6809346,3,63.0,,
602121990,50.8445083,5.6806795,3,63.0,,
602121991,50.8442011,5.6794382,3,63.0,,
602121994,50.844153,5.6794163,3,63.0,,
602122007,50.8444701,5.6807021,3,63.0,,
602122079,50.8450588,5.6812223,3,63.0,,
602122080,50.8452688,5.6810533,3,63.0,,
602122083,50.8468137,5.6796933,3,63.0,,
602122113,50.8444704,5.6817094,3,60.0,,
602610824,50.8489338,5.6778069,3,70.0,,
602610828,50.8473238,5.6791632,1,68.0,,
602610847,50.849171,5.6776924,3,70.0,,
602610851,50.8489534,5.677883,3,70.0,,
602610877,50.8472909,5.679306,1,63.0,,
602611039,50.8493228,5.6774269,4,70.0,,
602611050,50.8492118,5.6779857,4,70.0,,
602628964,50.8469855,5.6793063,1,63.0,,
602628973,50.847066,5.6792389,1,63.0,,
602628981,50.8471682,5.6795509,1,63.0,,
603858891,50.8490404,5.6719778,3,74.0,,
603858893,50.8489832,5.6724911,4,74.0,crossing,
606134552,50.8382775,5.713273,3,52.0,,
608574899,50.8389913,5.7145616,3,52.0,,
